miRNA,SRR18856083,SRR18856084,SRR18856085,SRR18856086,SRR18856087,SRR18856088,SRR18856089,SRR18856090,SRR18856091,SRR18856092,SRR18856093,SRR18856094,SRR18856095,SRR18856096,SRR18856097,SRR18856098,SRR18856099,SRR18856100,SRR18856101,SRR18856102,SRR18856103,SRR18856104,SRR18856105,SRR18856106,SRR18856107,SRR18856108,SRR18856109,SRR18856110,SRR18856111,SRR18856112,SRR18856113,SRR18856114,SRR18856115,SRR18856116,SRR18856117,SRR18856118,SRR18856119,SRR18856120,SRR18856121,SRR18856122,SRR18856123,SRR18856124,SRR18856125,SRR18856126,SRR18856127,SRR18856128,SRR18856129,SRR18856130
rno-miR-29b-1-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-29b-3p,279,320,168,753,42,48,45,48,144,30,213,1268,75,311,1150,553,279,153,33,84,63,66,117,66,168,98,113,645,246,267,102,63,84,96,78,81,129,108,84,57,42,33,57,15,153,78,51,156
rno-miR-29b-5p,2,2,4,28,0,0,2,4,8,0,4,6,2,0,18,16,0,4,0,2,6,0,4,0,0,0,2,14,2,0,0,0,0,0,2,10,2,0,0,0,0,0,2,0,4,2,0,4
rno-miR-29c-3p,10754,7068,3532,21054,866,994,992,2036,4000,970,4674,27438,450,4226,28540,11312,1872,2406,654,1360,668,858,2020,958,2866,1206,4090,8426,5818,2372,938,830,1072,2530,1348,2364,826,2626,4024,600,828,656,894,300,1886,1110,1052,2158
rno-miR-29c-5p,6,14,10,60,0,0,4,0,0,0,6,36,0,10,42,28,2,0,0,0,0,0,4,2,4,0,4,14,8,0,0,2,0,2,0,4,0,2,12,0,0,0,2,0,0,2,4,0
rno-miR-300-3p,1,2,1,7,0,0,0,0,1,0,0,9,0,1,18,12,0,0,0,0,0,0,0,0,2,0,3,1,3,0,0,0,0,0,0,0,0,6,10,1,0,0,0,0,0,0,0,0
rno-miR-300-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-301a-3p,96,83,46,201,62,54,16,159,115,53,150,184,9,42,373,175,97,83,243,71,13,34,182,41,35,17,50,103,83,212,101,106,107,118,102,158,95,42,60,75,89,19,74,79,60,116,52,191
rno-miR-301a-5p,0,1,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-301b-3p,1,3,1,0,2,0,0,7,6,1,8,4,0,0,4,1,5,10,4,3,0,2,5,1,0,0,1,1,1,15,6,0,6,3,3,1,3,1,1,1,2,3,8,0,0,5,5,6
